Date,Holiday,,
11/11/2016,Veterans Day,,
03/07/2015,Independence Day (Observed),,
16/02/2015,Washington's Birthday,,
30/05/2016,Memorial Day,,
25/12/2016,Christmas Day,,
11/11/2015,Veterans Day,,
25/12/2015,Christmas Day,,
24/11/2016,Thanksgiving,,
16/04/2015,Emancipation Day,,
15/04/2016,Emancipation Day (Observed),,
25/05/2015,Memorial Day,,
18/01/2016,"Martin Luther King, Jr. Day",,
16/04/2016,Emancipation Day,,
26/11/2015,Thanksgiving,,
01/01/2015,New Year's Day,,
01/01/2016,New Year's Day,,
19/01/2015,"Martin Luther King, Jr. Day",,
04/07/2015,Independence Day,,
05/09/2016,Labor Day,,
07/09/2015,Labor Day,,
15/02/2016,Washington's Birthday,,
26/12/2016,Christmas Day (Observed),,
04/07/2016,Independence Day,,
10/10/2016,Columbus Day,,
12/10/2015,Columbus Day,,